,Age,Job,Marital_Status,Education,Annual_Income,Credit_Score,Account_Balance,Housing_Loan,Personal_Loan,Contacted_Before,Campaign_Count,Months_With_Bank,Subscribed
0,43,Self-Employed,Married,Not Graduate,1069085,741,50353,Yes,No,No,4,84,No
1,34,Services,Single,Graduate,278319,710,86208,No,No,No,7,73,No
2,55,Management,Married,Not Graduate,614943,746,0,Yes,Yes,Yes,3,1,No
3,46,Admin,Divorced,Graduate,234428,675,245948,No,No,No,3,175,No
4,49,Admin,Divorced,Graduate,553107,632,158872,No,No,Yes,3,51,No
5,60,Services,Married,Graduate,1361964,714,0,Yes,No,Yes,2,26,Yes
6,39,Admin,Single,Graduate,1042461,762,179145,Yes,No,No,1,66,No
7,41,Self-Employed,Single,Graduate,900434,759,0,Yes,No,Yes,4,233,Yes
8,49,Retired,Married,Not Graduate,436966,789,67551,No,No,Yes,2,132,Yes
9,35,Self-Employed,Married,Graduate,892424,738,78814,No,Yes,Yes,1,45,No
10,50,Management,Married,Graduate,321674,650,130449,No,Yes,No,2,29,No
11,35,Student,Married,Graduate,288842,644,134916,Yes,No,Yes,3,25,Yes
12,54,Technician,Single,Graduate,484300,677,196003,Yes,Yes,No,2,45,Yes
13,35,Self-Employed,Single,Not Graduate,321277,714,27840,No,No,Yes,3,71,Yes
14,38,Student,Married,Graduate,682701,728,114581,No,No,No,4,70,No
15,32,Technician,Married,Graduate,579938,597,83471,No,No,No,2,19,No
16,29,Unemployed,Single,Graduate,1339118,823,64258,Yes,Yes,No,5,67,No
17,57,Technician,Married,Graduate,543310,703,228466,No,No,No,2,57,Yes
18,38,Entrepreneur,Married,Graduate,498683,718,104096,Yes,No,Yes,2,80,No
19,39,Student,Divorced,Not Graduate,802631,634,87293,No,Yes,No,4,79,Yes
20,52,Admin,Married,Not Graduate,161496,660,205249,No,No,Yes,3,1,No
21,54,Unemployed,Married,Graduate,246255,701,49401,Yes,No,Yes,1,1,No
22,59,Retired,Single,Graduate,373250,623,52532,Yes,No,No,5,44,No
23,39,Admin,Married,Not Graduate,888987,703,166840,Yes,Yes,No,5,88,No
24,47,Technician,Married,Not Graduate,336838,715,107384,Yes,No,Yes,4,117,No
25,43,Management,Single,Graduate,410869,748,57172,No,No,No,3,1,No
26,50,Self-Employed,Married,Graduate,511506,689,72127,Yes,No,Yes,4,34,No
27,32,Admin,Single,Graduate,378466,721,146177,No,No,Yes,3,5,Yes
28,26,Self-Employed,Divorced,Graduate,362948,802,101008,No,No,Yes,5,47,Yes
29,51,Student,Married,Not Graduate,303643,714,0,No,No,No,2,63,Yes
30,28,Admin,Married,Graduate,541195,606,33393,No,No,No,3,80,Yes
31,33,Admin,Single,Graduate,452462,662,11137,No,No,No,4,164,No
32,47,Self-Employed,Divorced,Graduate,363854,774,167581,No,No,Yes,4,16,No
33,48,Unemployed,Single,Graduate,218475,690,83471,Yes,No,No,2,85,Yes
34,27,Admin,Divorced,Not Graduate,611584,714,83471,Yes,Yes,Yes,3,64,Yes
35,41,Student,Single,Not Graduate,556153,593,247670,No,No,Yes,5,191,No
36,33,Services,Married,Graduate,1058773,723,0,Yes,No,Yes,1,106,No
37,33,Admin,Married,Graduate,748506,661,0,No,No,No,2,22,No
